VARIABLE              ORIGIN*      DESCRIPTION                       Quick-Reference Codebook,
Unit QC Review Administrative Data,
ACTNTYPE                  R       Type of action,ACTNTYPE
ALLADJ                    R       Allotment adjustment,ALLADJ
AMTADJ                    R       Amount of allotment adjustment,AMTADJ
AUTHREP                   R       Authorized representative,AUTHREP
CASE                      R       Case classification,CASE
CAT_ELIG                  C       Indicator of categorical eligibility status,CAT_ELIG
CERTMTH                   R       Months in certification period,CERTMTH
COUPFIX                   C       Coupon allotment adjusted for errors,COUPFIX
EXPEDSER                  R       Received expedited service,EXPEDSER
HHLDNO                    C       Household identification number,HHLDNO
LASTCERT                  C       Months since last certification for FSP,LASTCERT
LOCALCOD                  R       Local agency code,LOCALCOD
MED_DED_DEMO              C       Indicator of Medical Deduction Demonstration participation,MED_DED_DEMO
MN_FIP                    C       Indicator of MFIP participation,MN_FIP
PURE_PA                   C       Indicator of Pure PA status,PURE_PA
RCNTACTN                  R       Most recent action on case,RCNTACTN
REP_SYS                   R       Reporting system,REP_SYS
REVNUM                    R       State QC review number,REVNUM
SSI_CAP                   C       Indicator of SSI-CAP participation,SSI_CAP
STATUS                    R       Status of case error findings,STATUS
YRMONTH                   R       Sample year and month,YRMONTH
Unit Demographics and Sample Weights,
CERTHHSZ                  R       Certified unit size,CERTHHSZ
COUNTYCD                  C       FIPS code for county,COUNTYCD
CTPRHH                    C       Number of people in household,CTPRHH
FSDIS                     C       Indicator of presence of disabled person in unit,FSDIS
FSNELDER                  C       Number of elderly individuals in unit,FSNELDER
FSNGMOM                   C       Indicator of single-female headed unit,FSNGMOM
FSNK0T4                   C       Number of preschool-age children in unit,FSNK0T4
FSNK5T17                  C       Number of school-age children in unit,FSNK5T17
FSNKID                    C       Number of children in unit,FSNKID
FSNONCIT                  C       Number of noncitizens in unit,FSNONCIT
FSUSIZE                   C       Constructed certified unit size,FSUSIZE
FYWGT                     C       Weight used for full-year calculations,FYWGT
HWGT                      C       Monthly sample weight,HWGT
RAWHSIZE                  R       Reported number of people in household,RAWHSIZE
REGION                    C       Constructed census region code,REGION
REGIONCD                  R       FNS region code,REGIONCD
STATE                     R       FIPS code for State or territory,STATE
STRATUM                   R       Stratum identification,STRATUM
TANF_IND                  C       Indicator of TANF receipt for household,TANF_IND
TPOV                    C   Gross income/poverty level ratio,TPOV
URBRUR                  C   Urban/rural indicator,URBRUR
WRK_POOR                C   Indicator of working poor household,WRK_POOR
Unit Countable Income (Monthly Dollar Amounts),
FSCONT                  C   Countable unit income from contributions,FSCONT
FSCSUPRT                C   Countable unit child support payment income,FSCSUPRT
FSDEEM                  C   Countable unit deemed income,FSDEEM
FSDIVER                 C   Countable unit State diversion payments,FSDIVER
FSEARN                  C   Countable unit earned income,FSEARN
FSEDLOAN                C   Countable unit income from educational grants and loans,FSEDLOAN
FSEITC                  C   Countable unit income from earned income tax credit,FSEITC
FSENERGY                C   Countable unit energy assistance income,FSENERGY
FSGA                    C   Countable unit general assistance benefits,FSGA
FSGRINC                 C   Final gross countable unit income,FSGRINC
FSNETINC                C   Final net countable unit income,FSNETINC
FSOTHERN                C   Countable unit other earned income,FSOTHERN
FSOTHGOV                C   Countable unit income from other government benefits,FSOTHGOV
FSOTHUN                 C   Countable unit other unearned income,FSOTHUN
FSSLFEMP                C   Countable unit self-employment income,FSSLFEMP
FSSOCSEC                C   Countable unit social security income,FSSOCSEC
FSSSI                   C   Countable unit SSI benefits,FSSSI
FSTANF                  C   Countable unit TANF payments,FSTANF
FSUNEARN                C   Countable unit unearned income,FSUNEARN
FSUNEMP                 C   Countable unit unemployment compensation benefits,FSUNEMP
FSVET                   C   Countable unit veterans' benefits,FSVET
FSWAGES                 C   Countable unit wages and salaries,FSWAGES
FSWCOMP                 C   Countable unit workers' compensation benefits,FSWCOMP
FSWGESUP                C   Countable unit wage supplementation income,FSWGESUP
RAWGROSS                R   Reported gross countable unit income,RAWGROSS
RAWNET                  R   Reported net countable unit income,RAWNET
Unit Countable Assets,
FSASSET                 C   Total countable assets,FSASSET
FSVEHAST                R   Reported non-excluded vehicles value,FSVEHAST
LIQRESOR                R   Reported liquid assets,LIQRESOR
OTHNLRES                R   Reported other nonliquid assets,OTHNLRES
REALPROP                R   Reported real property,REALPROP
VEHICLEA                R   Reported category for first vehicle,VEHICLEA
VEHICLEB                R   Reported category for second vehicle,VEHICLEB
Unit Expenses and Deductions,
ERN_INC_DED_PCT       C        Percentage used to calculate earnings deduction,ERN_INC_DED_PCT
EXCL_FSCSDED          C        Child support excluded from gross income,EXCL_FSCSDED
FSCSDED               C        Child support expense deduction,FSCSDED
FSCSEXP               R        Reported child support expense deduction,FSCSEXP
