feature,pred_0,pred_1
FSGRINC,0.0,-0.0
REALPROP,0.0,0.0
FSGA,0.0,-0.0
FSSSI,0.01,-0.01
CERTHHSZ,0.03,-0.03
FSDIS,0.0,-0.0
FSSLTDE2,-0.01,0.01
FSUNEARN,0.03,-0.03
FSTOTDED,-0.06,0.06
TANF_IND,0.02,-0.02
LIQRESOR,-0.02,0.02
FSWAGES,-0.0,0.0
FSSLTDED,0.11,-0.11
FSNONCIT,0.01,-0.01
FSERNDED,-0.0,0.0
FSEARN,-0.01,0.01
FSTOTDE2,0.01,-0.01
FSSTDDE2,0.04,-0.04
FSERNDE2,-0.01,0.01
FSUSIZE,0.02,-0.02
WRK_POOR,-0.01,0.01
FSASSET,-0.02,0.02
FSTANF,0.03,-0.03
HWGT,0.04,-0.04
FSNELDER,0.0,-0.0
SHELDED,0.1,-0.1
TPOV,0.01,-0.01
FSNETINC,-0.0,0.0
RAWNET,-0.02,0.02
RAWERND,-0.01,0.01
FSVEHAST,0.0,0.0
VEHICLEA,0.01,-0.01
