state,FSSLTDED,SHELDED,FSTOTDED,FSSTDDE2,HWGT,CERTHHSZ,FSTANF,FSUNEARN,FSUSIZE,FSASSET,TANF_IND,LIQRESOR,RAWNET,FSERNDE2,TPOV
Connecticut,"584","584","744","240","3575","1","0","920","1","0","0","0","176","0","92"
Connecticut,"969","968","1171","240","3704","1","0","1197","1","0","0","0","239","63","140"
Connecticut,"969","969","1129","240","3521","1","0","1278","1","0","0","0","149","0","127"
Connecticut,"0","0","160","0","3216","1","0","0","1","0","0","0","0","0","0"
Connecticut,"802","802","962","240","3527","1","0","1113","1","0","0","0","151","0","111"
Connecticut,"546","728","1049","240","4416","1","0","0","1","0","0","0","535","515","171"
Connecticut,"535","535","2299","24","2763","3","0","860","3","0","0","0","724","124","127"
Connecticut,"576","576","736","240","3778","1","0","1011","1","0","0","0","276","0","101"
Connecticut,"1054","1054","1214","0","3216","1","0","909","1","0","0","0","0","0","90"
Connecticut,"0","0","160","26","2763","3","0","26","3","0","0","0","0","0","2"
Connecticut,"966","966","1172","240","3541","1","0","1331","1","0","0","0","159","0","132"
Connecticut,"696","696","856","240","4022","1","0","1250","1","0","0","0","395","0","124"
Connecticut,"535","535","695","44","2962","2","0","515","2","0","0","0","0","0","38"
Connecticut,"535","535","899","160","3466","1","0","0","1","0","0","0","122","204","102"
Connecticut,"535","535","695","0","2962","2","0","200","2","0","0","0","0","0","15"
Connecticut,"535","517","695","115","3216","1","0","650","1","0","0","0","0","0","65"
Connecticut,"1341","1341","1501","0","3216","1","0","1245","1","0","0","0","0","0","124"
Connecticut,"535","535","843","266","4294","6","0","1332","6","0","0","0","890","80","63"
Connecticut,"335","335","765","255","3770","4","0","0","4","0","0","0","537","390","64"
Connecticut,"535","535","1068","160","4589","2","0","0","2","0","0","0","799","373","138"
Connecticut,"0","0","160","160","4389","1","0","735","1","0","0","0","575","0","73"
Connecticut,"535","535","940","160","3805","1","0","0","1","0","0","0","288","245","122"
Connecticut,"535","535","808","0","3216","1","0","0","1","0","0","0","0","0","57"
Connecticut,"831","831","991","3","3216","1","0","754","1","0","0","0","0","0","75"
Connecticut,"226","226","386","240","4280","1","0","909","1","0","0","0","524","0","90"
Connecticut,"561","561","908","240","3277","1","0","0","1","0","0","0","30","281","93"
Connecticut,"452","452","612","240","3312","3","487","879","3","0","1","0","267","0","52"
Connecticut,"535","1053","728","0","2962","2","0","219","2","0","0","0","0","0","29"
Connecticut,"535","535","1023","160","4024","3","0","0","3","0","0","0","617","375","96"
Connecticut,"0","0","160","0","3216","1","0","0","1","0","0","0","0","0","0"
Connecticut,"535","535","695","0","2962","2","0","0","2","0","0","0","0","0","0"
Connecticut,"535","535","695","112","2763","3","597","647","3","0","1","0","0","0","38"
Connecticut,"945","945","1105","0","3216","1","0","826","1","0","0","0","0","0","82"
Connecticut,"0","0","160","0","3216","1","0","0","1","0","0","0","0","0","0"
Connecticut,"0","0","170","0","2672","4","0","0","4","0","0","0","0","0","0"
Connecticut,"321","321","491","255","4252","4","0","1267","4","0","0","0","777","0","62"
Connecticut,"0","0","160","0","3216","1","0","0","1","0","0","0","0","0","0"
Connecticut,"741","741","901","74","3216","1","0","735","1","0","0","0","0","0","73"
Connecticut,"535","535","705","0","2672","4","0","0","4","0","0","0","0","0","0"
