state,FSSLTDED,SHELDED,FSTOTDED,FSSTDDE2,HWGT,CERTHHSZ,FSTANF,FSUNEARN,FSUSIZE,FSASSET,TANF_IND,LIQRESOR,RAWNET,FSERNDE2,TPOV
Alabama,"211","224","477","169","3826","2","3","463","2","0","0","0","401","84","59"
Alaska,"255","252","637","222","834","2","55","537","2","154","0","154","546","107","52"
Arizona,"194","194","471","140","5353","2","3","362","2","0","0","0","434","112","54"
Arkansas,"132","129","377","162","1807","2","1","498","2","115","0","92","479","70","56"
California,"330","314","592","125","29938","2","98","333","2","0","0","0","284","102","52"
Colorado,"340","341","592","152","3335","2","27","474","2","0","0","0","334","79","59"
Connecticut,"500","510","737","128","3138","1","27","581","1","0","0","0","266","64","69"
Delaware,"237","222","513","157","1218","2","11","494","2","0","0","0","481","109","69"
District of Columbia,"260","235","470","129","865","1","63","436","1","0","0","0","352","45","50"
Florida,"311","309","572","165","19742","1","5","499","1","0","0","0","384","95","67"
Georgia,"225","223","481","146","8391","2","1","461","2","0","0","0","375","71","56"
Guam,"80","245","600","257","429","3","8","172","3","0","0","0","486","166","53"
Hawaii,"120","115","434","222","1546","1","30","546","1","0","0","0","511","80","58"
Idaho,"227","330","514","171","842","2","3","476","2","63","0","42","466","103","62"
Illinois,"257","247","518","139","13933","1","5","428","1","0","0","0","353","86","59"
Indiana,"258","246","520","170","3627","2","1","485","2","32","0","32","419","94","61"
Iowa,"223","222","510","163","2131","2","14","482","2","1","0","1","532","114","68"
Kansas,"276","263","551","174","1307","2","8","485","2","152","0","147","409","94","62"
Kentucky,"163","156","399","154","3318","2","10","474","2","0","0","0","426","65","52"
Louisiana,"213","208","449","153","6281","2","1","430","2","82","0","82","313","62","51"
Maine,"416","415","655","184","1119","1","26","703","1","261","0","217","426","80","80"
Maryland,"259","261","554","152","5320","1","28","507","1","0","0","0","413","87","66"
Massachusetts,"457","473","719","140","5550","1","29","633","1","0","0","0","299","62","72"
Michigan,"365","358","639","144","9548","1","6","513","1","28","0","28","379","89","67"
Minnesota,"308","302","583","166","2545","1","0","580","1","0","0","0","513","99","75"
Mississippi,"162","161","414","148","2780","2","3","428","2","0","0","0","403","73","51"
Missouri,"259","250","525","160","4369","2","5","501","2","129","0","128","361","69","59"
Montana,"319","308","595","161","904","2","37","480","2","0","0","0","423","109","67"
Nebraska,"289","286","569","163","1040","2","19","494","2","64","0","63","463","104","63"
Nevada,"194","183","454","141","2964","1","12","388","1","0","0","0","419","96","57"
New Hampshire,"383","382","632","167","823","1","42","707","1","134","0","130","468","75","77"
New Jersey,"380","381","649","169","6210","1","6","595","1","0","0","0","421","95","75"
New Mexico,"200","199","457","152","2689","2","17","395","2","0","0","0","402","94","56"
New York,"505","514","770","147","20324","1","32","639","1","0","0","0","334","75","73"
North Carolina,"259","251","548","154","7051","2","3","437","2","0","0","0","460","117","66"
North Dakota,"343","335","646","150","641","2","14","496","2","0","0","0","327","86","65"
Ohio,"306","301","554","164","8730","1","13","564","1","0","0","0","429","83","68"
Oklahoma,"192","188","441","150","3068","2","3","398","2","0","0","0","380","80","52"
Oregon,"304","304","561","145","4860","1","20","488","1","0","0","0","343","74","63"
Pennsylvania,"413","415","672","155","14056","1","12","566","1","0","0","0","384","89","72"
Rhode Island,"452","464","697","152","1546","1","22","609","1","0","0","0","315","67","73"
South Carolina,"189","186","455","152","3592","2","7","471","2","0","0","0","408","75","57"
South Dakota,"348","347","623","132","676","2","30","445","2","286","0","253","313","83","56"
Tennessee,"160","158","391","146","5409","1","5","431","1","137","0","137","349","58","51"
Texas,"250","250","540","170","22052","2","3","435","2","0","0","0","436","117","63"
Utah,"244","234","528","159","1031","2","14","428","2","214","0","212","455","110","58"
Vermont,"648","650","918","145","717","1","37","749","1","0","0","0","282","63","84"
Virgin Islands,"68","60","341","126","702","2","6","271","2","0","0","0","386","89","47"
Virginia,"195","191","448","169","5276","2","14","524","2","161","0","161","422","67","60"
Washington,"304","306","562","139","7074","1","18","457","1","0","0","0","375","91","62"
West Virginia,"220","231","448","155","2279","1","3","529","1","0","0","0","438","63","60"
Wisconsin,"281","275","571","165","4038","2","10","558","2","0","0","0","524","110","74"
Wyoming,"254","254","557","165","497","2","2","460","2","187","0","168","429","105","62"
