FSAFIL1,FSAFIL2,REL1,REL2,AGE1,AGE2,SEX1,SEX2,RACETH1,RACETH2,CTZN1,CTZN2,YRSED1,YRSED2,EMPRG1,EMPRG2,EMPSTA1,EMPSTA2,EMPSTB1,EMPSTB2,WAGES1,WAGES2,WAGES3,WAGES4,SLFEMP1,SLFEMP2,SLFEMP7,EITC1,EITC2,SOCSEC1,SOCSEC2,SOCSEC3,SOCSEC4,SOCSEC5,VET1,VET3,SSI1,SSI2,SSI3,SSI4,SSI6,SSI7,UNEMP1,UNEMP2,WCOMP1,OTHGOV1,CONT1,GA1,GA2,OTHUN1,OTHUN5,TANF1,TANF2,TANF3,CSUPRT1,CSUPRT2,CSUPRT3,CSUPRT4,AMOUNT1,AMOUNT2,AMOUNT3,AMOUNT4,AMOUNT5,WRKREG1,WRKREG2,ABWDST1,ABWDST2,DPCOST2,REGIONCD,STATE,YRMONTH,STATUS,AMTERR,RAWHSIZE,RCNTACTN,ACTNTYPE,CERTHHSZ,LIQRESOR,REALPROP,FSVEHAST,CASE,CERTMTH,RAWBEN,EXPEDSER,AUTHREP,FSMEDEXP,FSDEPDED,RAWNET,HOMEDED,VEHICLEA,SUA1,SUA2,FSCSEXP,RENT,SHELDED,ALLADJ,REP_SYS,CAT_ELIG,AMTADJ,HHLDNO,FSUN1,FSUN2,CTPRHH,FSCSDED,RAWGROSS,RAWERND,FSASSET,UTIL,COUPFIX,FSUSIZE,BENMAX,FSNKID,FSERNDED,FSMEDDED,FSSLTDED,FSSTDDED,FSTOTDED,ERN_INC_DED_PCT,FSSLTEXP,FSNELDER,FSDIS,FSNK5T17,FSNK0T4,FSNGMOM,NETSCRN,SHELCAP,REGION,GROSSCRN,ASSLIM,LASTCERT,FSSLFEMP,FSWAGES,FSCSUPRT,FSTANF,FSCONT,FSOTHGOV,FSOTHUN,FSSOCSEC,FSGA,FSUNEMP,FSVET,FSWCOMP,FSSSI,FSEITC,TANF_IND,FSEARN,FSUNEARN,FSGRINC,TPOV,WRK_POOR,FSNETINC,FSBEN,FSMINBEN,FSSTDDE2,FSERNDE2,FSDEPDE2,FSMEDDE2,FSSLTDE2,FSTOTDE2,PURE_PA,FSASTEST,FSGRTEST,FSNETEST,HWGT,FYWGT,FSNONCIT,DIS1,DIS2,FSNDIS,FSNDISCA,NDISCA1,NDISCA2
1.0,1.0,1.0,4.0,21.0,1.0,2.0,1.0,31.0,30.0,1.0,1.0,11.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,6.0,31.0,200610.0,1.0,0.0,3.0,20061001.0,2.0,3.0,0.0,0.0,0.0,1.0,6.0,408.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,325.0,417.0,1.0,6.0,1.0,0.0,44647.0,1.0,1.0,3.0,0.0,364.0,0.0,0.0,305.0,408.0,3.0,408.0,2.0,0.0,0.0,417.0,134.0,551.0,0.19999992847442627,630.0,0.0,0.0,0.0,2.0,1.0,1384.0,417.0,2.0,1799.0,2000.0,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,364.0,364.0,26.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,230.0,364.0,1.0,1.0,1.0,1.0,634.5548869037492,52.87957390864575,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1.0,1.1223628691983123,1.0,3.8122362869198314,53.0,16.873417721518987,2.0,1.4683544303797469,7.0,9.455696202531646,1.0,1.2257383966244726,13.0,5.6923076923076925,0.0,0.08016877637130802,1.0,1.8185654008438819,1.0,1.2742616033755274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.090717299578059,1.0,1.0253164556962024,2.2543103448275863,6.0,31.0,200610.0,1.0,0.0,1.0,20060601.0,2.0,1.0,384.0,0.0,0.0,1.0,6.0,10.0,3.0,2.0,0.0,0.0,456.0,1.0,3.0,3.0,1.0,0.0,332.0,272.0,1.0,1.0,0.0,0.0,44648.0,1.0,1.021097046413502,1.0,0.0,863.0,0.0,384.0,305.0,10.0,1.0,155.0,0.0,0.0,0.0,272.0,134.0,406.0,0.19999992847442627,637.0,0.0,1.0,0.0,0.0,0.0,817.0,417.0,2.0,1062.0,3000.0,4.0,0.0,0.0,150.0,0.0,0.0,0.0,3.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.0,863.0,106.0,0.0,457.0,18.0,0.0,201.0,0.0,0.0,0.0,272.0,406.0,0.0,1.0,1.0,1.0,803.9676157277113,66.9973013106426,0.0,1.0,0.035864978902953586,1.0,0.0,0.0,0.5064655172413793
1.0,1.1223628691983123,1.0,3.8122362869198314,73.0,16.873417721518987,2.0,1.4683544303797469,1.0,9.455696202531646,3.0,1.2257383966244726,10.0,5.6923076923076925,0.0,0.08016877637130802,1.0,1.8185654008438819,1.0,1.2742616033755274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.090717299578059,1.0,1.0253164556962024,2.2543103448275863,6.0,31.0,200610.0,1.0,0.0,1.0,20060313.0,1.0,1.0,167.8657105606258,0.0,0.0,1.0,17.0,77.0,3.0,2.0,0.0,0.0,258.0,1.0,4.0,1.0,1.0,0.0,475.0,230.0,1.0,1.0,1.0,0.0,44649.0,1.0,1.021097046413502,1.0,0.0,623.0,0.0,0.0,0.0,77.0,1.0,155.0,0.0,0.0,0.0,230.0,134.0,364.0,0.19999992847442627,475.0,1.0,0.0,0.0,0.0,0.0,817.0,417.0,2.0,1062.0,3000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,623.0,623.0,76.0,0.0,259.0,77.0,0.0,201.0,0.0,0.0,0.0,230.0,364.0,1.0,1.0,1.0,1.0,720.7882191502123,60.06568492918436,1.0,0.0,0.035864978902953586,0.0,0.0,0.0,0.5064655172413793
1.0,1.0,1.0,4.0,36.0,8.0,2.0,1.0,3.0,3.0,1.0,1.0,12.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,6.0,31.0,200610.0,1.0,0.0,5.0,20060701.0,2.0,5.0,167.8657105606258,0.0,0.0,1.0,6.0,524.0,3.0,2.0,0.0,0.0,301.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,44650.0,1.0,1.0,5.0,0.0,463.0,0.0,0.0,0.0,524.0,5.0,615.0,4.0,0.0,0.0,0.0,162.0,162.0,0.19999992847442627,0.0,0.0,0.0,2.0,2.0,1.0,1950.0,417.0,2.0,2535.0,2000.0,3.0,0.0,0.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,463.0,463.0,24.0,0.0,301.0,525.0,0.0,162.0,0.0,0.0,0.0,0.0,162.0,1.0,1.0,1.0,1.0,850.0231034266156,70.83525861888464,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1.0,1.1223628691983123,1.0,3.8122362869198314,31.0,16.873417721518987,2.0,1.4683544303797469,3.0,9.455696202531646,1.0,1.2257383966244726,12.0,5.6923076923076925,0.0,0.08016877637130802,8.0,1.8185654008438819,3.0,1.2742616033755274,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.090717299578059,1.0,1.0253164556962024,2.2543103448275863,6.0,31.0,200610.0,1.0,0.0,1.0,20060703.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,155.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,200.0,486.0,1.0,6.0,0.0,0.0,44651.0,1.0,1.021097046413502,1.0,0.0,213.0,42.0,0.0,305.0,155.0,1.0,155.0,0.0,42.0,0.0,417.0,134.0,593.0,0.19999992847442627,505.0,0.0,0.0,0.0,0.0,0.0,817.0,417.0,2.0,1062.0,2000.0,3.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,213.0,26.0,1.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,37.0,213.0,0.0,1.0,1.0,1.0,610.8222347187262,50.901852893227186,0.0,0.0,0.035864978902953586,0.0,1.0,1.0,0.5064655172413793
1.0,1.0,1.0,4.0,31.0,10.0,2.0,1.0,5.0,5.0,1.0,1.0,13.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,6.0,31.0,200610.0,1.0,0.0,2.0,20060701.0,2.0,2.0,167.8657105606258,0.0,0.0,1.0,7.0,284.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,480.0,785.0,1.0,9.0,0.0,0.0,44652.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,305.0,284.0,2.0,284.0,1.0,0.0,0.0,417.0,134.0,551.0,0.19999992847442627,785.0,0.0,0.0,1.0,0.0,1.0,1100.0,417.0,2.0,1430.0,2000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,619.1640114934463,51.59700095778718,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1.0,1.1223628691983123,1.0,3.8122362869198314,46.0,16.873417721518987,2.0,1.4683544303797469,7.0,9.455696202531646,1.0,1.2257383966244726,12.0,5.6923076923076925,0.0,0.08016877637130802,1.0,1.8185654008438819,1.0,1.2742616033755274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.090717299578059,1.0,1.0253164556962024,2.2543103448275863,6.0,31.0,200610.0,1.0,0.0,1.0,20061001.0,2.0,1.0,167.8657105606258,0.0,0.0,1.0,24.0,14.0,3.0,2.0,0.0,0.0,469.0,1.0,4.0,6.0,1.0,0.0,126.0,0.0,1.0,1.0,1.0,0.0,44653.0,1.0,1.021097046413502,1.0,0.0,603.0,0.0,0.0,39.0,14.0,1.0,155.0,0.0,0.0,0.0,0.0,134.0,134.0,0.19999992847442627,165.0,0.0,1.0,0.0,0.0,0.0,817.0,417.0,2.0,1062.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,603.0,603.0,74.0,0.0,469.0,14.0,0.0,134.0,0.0,0.0,0.0,0.0,134.0,1.0,1.0,1.0,1.0,809.6068979152973,67.46724149294143,0.0,1.0,0.035864978902953586,1.0,0.0,2.0,0.5064655172413793
1.0,1.1223628691983123,1.0,3.8122362869198314,52.0,16.873417721518987,2.0,1.4683544303797469,7.0,9.455696202531646,1.0,1.2257383966244726,12.0,5.6923076923076925,0.0,0.08016877637130802,1.0,1.8185654008438819,1.0,1.2742616033755274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.090717299578059,1.0,1.0253164556962024,2.2543103448275863,6.0,31.0,200610.0,1.0,0.0,1.0,20060601.0,2.0,1.0,167.8657105606258,0.0,0.0,1.0,12.0,75.0,3.0,2.0,0.0,0.0,257.0,1.0,4.0,3.0,1.0,0.0,96.0,181.0,1.0,1.0,1.0,0.0,44654.0,1.0,1.021097046413502,1.0,0.0,573.0,0.0,0.0,305.0,75.0,1.0,155.0,0.0,0.0,0.0,181.0,134.0,315.0,0.19999992847442627,401.0,0.0,1.0,0.0,0.0,0.0,817.0,417.0,2.0,1062.0,3000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,573.0,573.0,70.0,0.0,258.0,78.0,0.0,201.0,0.0,0.0,0.0,181.0,315.0,1.0,1.0,1.0,1.0,719.3783982879097,59.94819985732582,0.0,1.0,0.035864978902953586,1.0,0.0,0.0,0.5064655172413793
1.0,1.0,1.0,4.0,47.0,17.0,2.0,2.0,30.0,30.0,1.0,1.0,12.0,11.0,0.0,0.0,8.0,1.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,6.0,31.0,200610.0,1.0,0.0,2.0,20060901.0,2.0,2.0,0.0,0.0,0.0,1.0,12.0,140.0,3.0,2.0,0.0,0.0,499.0,1.0,1.0,3.0,1.0,0.0,264.0,213.0,1.0,1.0,1.0,0.0,44655.0,1.0,1.0,2.0,0.0,851.0,5.0,0.0,305.0,140.0,2.0,284.0,1.0,5.0,0.0,213.0,134.0,352.0,0.19999992847442627,569.0,0.0,1.0,1.0,0.0,1.0,1100.0,417.0,2.0,1430.0,3000.0,1.0,0.0,26.0,0.0,222.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,465.0,0.0,1.0,26.0,825.0,851.0,77.0,1.0,499.0,134.0,0.0,201.0,8.0,0.0,0.0,213.0,352.0,1.0,1.0,1.0,1.0,830.6370547952152,69.21975456626794,0.0,1.0,0.0,1.0,0.0,2.0,0.0
1.0,1.0,1.0,4.0,20.0,3.0,2.0,1.0,31.0,31.0,5.0,5.0,5.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,6.0,31.0,200610.0,1.0,0.0,4.0,20060701.0,2.0,4.0,0.0,0.0,0.0,1.0,6.0,476.0,3.0,2.0,0.0,0.0,139.0,1.0,1.0,3.0,1.0,0.0,0.0,157.0,1.0,6.0,1.0,0.0,44656.0,1.0,1.0,4.0,0.0,435.0,0.0,0.0,305.0,476.0,4.0,518.0,3.0,0.0,0.0,157.0,139.0,296.0,0.19999992847442627,305.0,0.0,0.0,0.0,3.0,1.0,1667.0,417.0,2.0,2167.0,2000.0,3.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,435.0,435.0,26.0,0.0,139.0,476.0,0.0,209.0,0.0,0.0,0.0,157.0,296.0,1.0,1.0,1.0,1.0,728.8957032706551,60.741308605887916,3.0,0.0,0.0,0.0,0.0,2.0,0.0
