FSSLTDE2,FSGRINC,FSASSET,FSNETINC,FSTOTDED,REALPROP,RAWERND,FSTOTDE2,CERTHHSZ,FSWAGES,TANF_IND,FSERNDED,TPOV,FSEARN,RAWNET,FSDIS,FSUSIZE,FYWGT,FSNELDER,FSSSI,FSTANF,FSNONCIT,LIQRESOR,FSUNEARN,WRK_POOR,FSSTDDE2,SHELDED,FSSLTDED,FSGA,FSERNDE2,CAT_ELIG,VEHICLEA,FSVEHAST
171.0,913.0,0.0,608.0,305.0,0.0,0.0,305.0,3.0,0.0,1.0,0.0,66.0,0.0,607.0,1.0,3.0,75.1971057557696,0.0,603.0,310.0,0.0,0.0,913.0,0.0,201.0,172.0,171.0,0.0,0.0,1.0,1.0,0.0
76.0,1477.0,0.0,737.0,740.0,0.0,295.0,740.0,6.0,1477.0,0.0,295.0,66.0,1477.0,737.0,0.0,6.0,82.32734015839841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,262.0,76.0,76.0,0.0,371.0,0.0,1.0,0.0
417.0,569.0,0.0,18.0,551.0,0.0,0.0,551.0,3.0,0.0,1.0,0.0,41.0,0.0,18.0,0.0,3.0,59.16784918012336,0.0,0.0,389.0,0.0,0.0,569.0,0.0,134.0,417.0,417.0,0.0,0.0,1.0,1.0,0.0
40.0,1866.0,14.0,1314.0,552.0,0.0,373.0,552.0,4.0,1866.0,0.0,373.0,112.0,1866.0,1314.0,0.0,4.0,95.59544410764752,0.0,0.0,0.0,0.0,14.0,0.0,1.0,179.0,40.0,40.0,0.0,413.0,0.0,1.0,0.0
322.0,603.0,0.0,147.0,456.0,0.0,0.0,456.0,1.0,0.0,0.0,0.0,74.0,0.0,147.0,0.0,1.0,63.2893151973227,1.0,603.0,0.0,0.0,0.0,603.0,0.0,201.0,323.0,322.0,0.0,0.0,1.0,1.0,0.0
213.0,372.0,0.0,0.0,568.0,0.0,26.0,372.0,2.0,129.0,1.0,25.0,34.0,129.0,0.0,0.0,2.0,58.78344135535036,0.0,0.0,243.0,0.0,0.0,243.0,1.0,5.0,410.0,409.0,0.0,0.0,1.0,1.0,0.0
78.0,623.0,0.0,411.0,212.0,0.0,0.0,212.0,1.0,0.0,0.0,0.0,76.0,0.0,411.0,1.0,1.0,70.4436161541614,0.0,165.0,0.0,0.0,0.0,623.0,0.0,201.0,79.0,78.0,0.0,0.0,1.0,1.0,0.0
169.0,1234.0,0.0,657.0,577.0,0.0,247.0,577.0,5.0,1234.0,0.0,246.0,63.0,1234.0,656.0,0.0,5.0,80.13171690124392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,243.0,169.0,169.0,0.0,369.0,0.0,1.0,0.0
265.0,603.0,0.0,204.0,399.0,0.0,0.0,399.0,1.0,0.0,0.0,0.0,74.0,0.0,204.0,1.0,1.0,64.8288483147015,0.0,603.0,0.0,0.0,0.0,603.0,0.0,201.0,266.0,265.0,0.0,0.0,1.0,1.0,0.0
161.0,368.0,0.0,0.0,624.0,0.0,74.0,368.0,3.0,368.0,0.0,73.0,27.0,368.0,0.0,0.0,3.0,58.7150453225666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,417.0,0.0,0.0,0.0,1.0,0.0
171.0,603.0,0.0,298.0,305.0,0.0,0.0,305.0,1.0,0.0,0.0,0.0,74.0,0.0,298.0,1.0,1.0,67.36454991926546,0.0,603.0,0.0,0.0,0.0,603.0,0.0,201.0,172.0,171.0,0.0,0.0,1.0,1.0,0.0
91.0,720.0,0.0,326.0,394.0,0.0,144.0,394.0,2.0,720.0,0.0,144.0,65.0,720.0,326.0,0.0,2.0,67.6583969736577,0.0,0.0,0.0,0.0,0.0,0.0,1.0,201.0,91.0,91.0,0.0,216.0,0.0,1.0,0.0
